-35.4324208	-60.1716334	America/Argentina/Buenos_Aires
-37.7749575	-67.7134734	America/Argentina/Salta
-36.2787436	-62.5450728	America/Argentina/Buenos_Aires
-34.6078505	-58.3811447	America/Argentina/Buenos_Aires
-35.4439072	-60.8845528	America/Argentina/Buenos_Aires
-34.9848574	-58.091184	America/Argentina/Buenos_Aires
-33.2411006	-60.8370004	America/Argentina/Cordoba
-34.8012352	-58.3889046	America/Argentina/Buenos_Aires
-33.1181641	-68.8854828	America/Argentina/Mendoza
-33.1194013	-68.8868944	America/Argentina/Mendoza
-35.0316512	-60.2802699	America/Argentina/Buenos_Aires
-34.7078223	-58.5180502	America/Argentina/Buenos_Aires
-34.9753793	-58.3807288	America/Argentina/Buenos_Aires
-33.3525069	-63.7173621	America/Argentina/Cordoba
-33.6063675	-62.6241285	America/Argentina/Cordoba
-31.6571044	-64.4347411	America/Argentina/Cordoba
-33.1317879	-60.8038707	America/Argentina/Cordoba
-33.0574351	-60.6185989	America/Argentina/Cordoba
-27.9141554	-55.7549371	America/Argentina/Cordoba
-33.144756	-61.4695416	America/Argentina/Cordoba
-32.7828968	-61.6040831	America/Argentina/Cordoba
-31.4192155	-63.0508598	America/Argentina/Cordoba
-33.1564137	-60.5129906	America/Argentina/Cordoba
-34.8873777	-58.1278539	America/Argentina/Buenos_Aires
-29.1174521	-59.6586341	America/Argentina/Cordoba
-37.1502686	-58.4829712	America/Argentina/Buenos_Aires
-36.7749672	-59.8540382	America/Argentina/Buenos_Aires
-38.7183177	-62.2663478	America/Argentina/Buenos_Aires
-37.8464067	-58.2554584	America/Argentina/Buenos_Aires
-31.0128017	-62.6657249	America/Argentina/Cordoba
-26.8341103	-65.1654205	America/Argentina/Tucuman
-34.7446112	-58.3917316	America/Argentina/Buenos_Aires
-33.812014	-59.50464	America/Argentina/Buenos_Aires
-27.4822998	-58.9334106	America/Argentina/Cordoba
-34.4640891	-58.5347609	America/Argentina/Buenos_Aires
-34.3402525	-58.7849434	America/Argentina/Buenos_Aires
-28.5066193	-59.0422553	America/Argentina/Cordoba
-34.5637055	-58.6903973	America/Argentina/Buenos_Aires
-32.6305078	-62.6888569	America/Argentina/Cordoba
-34.4151715	-58.6867547	America/Argentina/Buenos_Aires
-37.6743158	-59.8048962	America/Argentina/Buenos_Aires
-34.7775192	-58.2367096	America/Argentina/Buenos_Aires
-34.8730675	-57.8837173	America/Argentina/Buenos_Aires
-34.7108688	-58.2800827	America/Argentina/Buenos_Aires
-33.4569934	-61.319041	America/Argentina/Cordoba
-34.8250771	-58.2246208	America/Argentina/Buenos_Aires
-34.5012257	-58.5671668	America/Argentina/Buenos_Aires
-30.8663699	-62.0341726	America/Argentina/Cordoba
-34.470829	-58.5286102	America/Argentina/Buenos_Aires
-34.5544023	-58.4572907	America/Argentina/Buenos_Aires
-34.5642195	-58.4915489	America/Argentina/Buenos_Aires
-34.5687328	-58.4827992	America/Argentina/Buenos_Aires
-34.5942961	-58.4572907	America/Argentina/Buenos_Aires
-34.6036844	-58.3815591	America/Argentina/Buenos_Aires
-34.6079222	-58.3659858	America/Argentina/Buenos_Aires
-34.6106617	-58.5143934	America/Argentina/Buenos_Aires
-34.6160416	-58.4201892	America/Argentina/Buenos_Aires
-34.6177736	-58.4002165	America/Argentina/Buenos_Aires
-34.6209278	-58.4458736	America/Argentina/Buenos_Aires
-34.6261244	-58.3859524	America/Argentina/Buenos_Aires
-34.6273345	-58.5029706	America/Argentina/Buenos_Aires
-34.6408608	-58.4458736	America/Argentina/Buenos_Aires
-34.644379	-58.3888051	America/Argentina/Buenos_Aires
-34.6539679	-58.4915489	America/Argentina/Buenos_Aires
-34.6740319	-58.4572907	America/Argentina/Buenos_Aires
-34.8286232	-58.3933342	America/Argentina/Buenos_Aires
-38.4850854	-61.8937918	America/Argentina/Buenos_Aires
-46.4425647	-67.5171533	America/Argentina/Rio_Gallegos
-35.5946338	-64.5586583	America/Argentina/Salta
-33.1263187	-62.095867	America/Argentina/Cordoba
-34.1633346	-58.9592643	America/Argentina/Buenos_Aires
-32.8211646	-61.3953734	America/Argentina/Cordoba
-32.053109	-61.6022068	America/Argentina/Cordoba
-34.8844956	-58.5127172	America/Argentina/Buenos_Aires
-35.0491425	-58.7595053	America/Argentina/Buenos_Aires
-30.8569837	-64.5262505	America/Argentina/Cordoba
-32.8153121	-60.7208217	America/Argentina/Cordoba
-34.5264942	-58.5360185	America/Argentina/Buenos_Aires
-32.8571864	-61.1578169	America/Argentina/Cordoba
-37.1795093	-62.7601738	America/Argentina/Buenos_Aires
-35.6225839	-61.3653564	America/Argentina/Buenos_Aires
-34.3766824	-59.8227099	America/Argentina/Buenos_Aires
-32.4154836	-65.0086468	America/Argentina/San_Luis
-36.4751375	-65.3443318	America/Argentina/Salta
-34.6094827	-58.5634631	America/Argentina/Buenos_Aires
-33.044522	-61.1650211	America/Argentina/Cordoba
-34.6554584	-58.6452437	America/Argentina/Buenos_Aires
-36.0912411	-57.8074548	America/Argentina/Buenos_Aires
-31.6541691	-68.2852783	America/Argentina/San_Juan
-32.2969128	-61.4104164	America/Argentina/Cordoba
-33.2462328	-61.3570303	America/Argentina/Cordoba
-34.6420841	-60.4715188	America/Argentina/Buenos_Aires
-32.9809081	-68.8769007	America/Argentina/Mendoza
-30.7572746	-57.9916191	America/Argentina/Cordoba
-30.361165	-66.3140926	America/Argentina/La_Rioja
-35.5785737	-58.0138514	America/Argentina/Buenos_Aires
-31.4965964	-68.5317615	America/Argentina/San_Juan
